Artist,Number of Searches
Great Good Fine Ok,966000000
Tim Halperin,1030000
Keane,37500000
Claire Richards,26200000
Ward Thomas,305000000
Blossoms,497000000
Franc Moody,1190000
Lily Allen,81400000
Amy Macdonald,25000000
Sophie Ellis-Bextor,2590000
Hues Corporation,15700000
Jonas Blue,300000000
Tom Odell,19400000
Tim Atlas,69300000
RØMANS,22900000
Nile Rodgers,7750000
Olly Murs,11700000
Kodak Black,118000000
Kings,4800000000
Quavo,16600000
Lil Baby,448000000
Aminé,63200000
Manu Crooks,623000
Sheck Wes,3160000
Eminem,109000000
The Kid Laroi,69500
Lil Wayne,112000000
Kanye West,160000000
Lil Peep,29700000
Logic,597000000
Quavo,16600000
Future,4260000000
Tyga,39600000
6ix9ine,22500000
Travis Scott,174000000
Triple One,838000000
Kodak Black,118000000
French Montana,192000000
Lil Mosey,1890000
Gucci Mane,45300000
Lil Wayne,112000000
Flipp Dinero,913000
Vic August,97200000
Lil Baby,448000000
Lil Pump,66400000
A$AP Rocky,77200000
Pardison Fontaine,892000
Young Thug,81300000
Travis Scott,174000000
Eminem,109000000
SWIDT,56400
Nicki Minaj,122000000
Lil Uzi Vert,27000000
Drake,329000000
Jaden Smith,35500000
Kwame,16600000
6ix9ine,22500000
Jimilian,169000
J.I.D,13100000
Lil Wayne,112000000
B Wise,513000000
Juicy J,130000000
Figuero Jones,190000
RAIZA BIZA,48900
Eminem,109000000
Sophiegrophy,29800
Manu Crooks,623000
José Luis Perales,9040000
José José,7090000
Consuelo Velázquez,10500
Lucho Gatica,668000
Javier Solís,6710000
Rocío Dúrcal,4320
Luis Miguel,506000000
Juan Gabriel,201000000
Violeta Parra,8540000
Lupita D'Alessio,938000
Julio Iglesias,89900000
Vikki Carr,811000
Raphael,147000000
Camilo Sesto,6680000
Joan Sebastian,69100000
Sandro,149000000
Pedro Infante,24600000
Julio Jaramillo,17700000
Los Panchos,4770000
Eydie Gormé,5210
Juan Luis Guerra 4.40,361000
Roberto Carlos,304000000
Paloma San Basilio,2980000
Isabel Pantoja,24100000
Violeta Parra,8540000
Pimpinela,2040000
Alejandro Fernandez,44100000
Trios de Mexico,8770000
Los Panchos,4770000
Julio Jaramillo,17700000
Leo Marini,6790000
Julio Jaramillo,17700000
José Luis Rodríguez,99900
Vicente Fernández,145000
Natalie Cole,52800000
Carlos Vives,32900000
Luis Miguel,506000000
Raphael,147000000
Roberto Carlos,304000000
Camilo Sesto,6680000
José Luis Rodríguez,99900
Dyango,977000
Mocedades,1120000
Roberto Carlos,304000000
Buena Vista Social Club,42700000
Luis Miguel,506000000
Silvio Rodríguez,11300
Omara Portuondo,1780000
Rocío Dúrcal,4320
Armando Manzanero,2660000
Julio Iglesias,89900000
Emmanuel,259000000
Isabel Parra,17800000
Joan Manuel Serrat,6480000
Julio Iglesias,89900000
José Luis Perales,9040000
Celia Cruz,32800000
Julio Jaramillo,17700000
Luis Miguel,506000000
Ibrahim Ferrer,4020000
José José,7090000
Emmanuel,259000000
Buena Vista Social Club,42700000
Luis Miguel,506000000
Compay Segundo,1220000
Beny Moré,9790
Javier Solís,6710000
Armando Manzanero,2660000
Pedro Infante,24600000
Armando Manzanero,2660000
Juan Gabriel,201000000
Luis Miguel,506000000
Juan Gabriel,201000000
Eydie Gormé,5210
Joan Sebastian,73800000
Celia Cruz,32800000
Luis Miguel,506000000
Javier Solís,6710000
Pedro Infante,24600000
Eydie Gormé,5210
Juan Gabriel,201000000
Joan Sebastian,69100000
Angus & Julia Stone,102000000
Ed Sheeran,112000000
Imagine Dragons,122000000
Kina Grannis,1390000
Imaginary Future,86500000
Aaron Krause,8460000
Megan Davies,61600000
Twin Bandit,17200000
John Mayer,137000000
Gardiner Sisters,4210000
Julia Sheer,69200000
Jasmine Thompson,35500000
Ryan Montbleau,161000
Lotte Kestner,200000
I'm With Her,2890000000
Dua Lipa,55200000
Nelly Furtado,8720000
Overcoats,12900000
Gardiner Sisters,4210000
Trampled by Turtles,759000
Bahamas,609000000
Noah Guthrie,4340000
The Staves,7250000
Gardiner Sisters,4100000
Us The Duo,630000000
MisterWives,2160000
Boyce Avenue,11600000
Iron & Wine,13020000000
First Aid Kit,check
Rosie Carney,2050000
The Civil Wars,240000000
Megan Davies,58900000
Daniela Andrade,20000000
Lisa Mitchell,90800000
Lucius,35700000
Sarah Jarosz,735000
Colin & Caroline,271000000
Branches,2000000000
Gardiner Sisters,4260000
Ysabelle Cuevas,256000
The Sweeplings,42200
Odina,1640000
Boyce Avenue,11600000
Joy Williams,227000000
Kina Grannis,1630000
Colin & Caroline,262000000
Eddie Berman,3760000
Freedom Fry,15500000
Iron & Wine,13330000000
Megan Davies,58900000
SOAK,266000000
Anna Elizabeth Laube,384000
Madilyn Bailey,2230000
Joseph & Maia,1610000000
The Mayries,24100
Erato,14400000
Zella Day,5430000
Lucius,35000000
James TW,99500000
Taylor Swift,368000000
Fitz and The Tantrums,7680000
Megan Davies,56200000
X Ambassadors,62300000
Lennon & Maisy,95700000
Alex Cornell,19100000
Run River North,791000000
Jaclyn Davies,2170000
Walk Off the Earth,440000000
Anthem Lights,22900000
Nicole Cross,223000000
Megan Davies,40100000
Landon Austin,15300000
Canyon City,344000000
Megan Davies,58900000
James Vincent McMorrow,1130000
Gavin James,98200000
Megan Davies,49100000
Nashville Cast,70700000
Obadiah Parker,1340000
Colin & Caroline,262000000
Xavier Dunn,11200000
The Mayries,check
Landon Austin,15300000
Emily Hackett,7060000
Jess Delgado,7720000
Kishi Bashi,424000
Megan Davies,61600000
Josh Golden,144000000
Gardiner Sisters,4210000
William Singe,4160000
Landon Austin,14200000
Joanna Wang,check
Hearts & Colors,4710000000
William Fitzsimmons,3630000
Savannah Outen,369000
alt-J,844000000
Jack and White,2150000000
Taken By Trees,484000000
Cam,1690000000
Tom Speight,1760000
Ed Sheeran,143000000
Lady Gaga,269000000
The Lumineers,6580000
Kina Grannis,1440000
Leon Bridges,24900000
Sam Smith,489000000
Hozier,24900000
Angus & Julia Stone,121000000
James TW,99500000
John Mayer,147000000
Vance Joy,24300000
Adele,206000000
James Bay,829000000
George Ogilvie,4000000
Mako,80600000
Bishop Briggs,16200000
JP Cooper,89800000
Lewis Capaldi,12000000
George Ezra,35300000
Ed Sheeran,143000000
Dermot Kennedy,7160000
Ray LaMontagne,2780000
Charlie Cunningham,19600000
Dean Lewis,142000000
Juke Ross,1920000
Ed Sheeran,143000000
JONES,1480000000
Peter Bradley Adams,30500000
Vance Joy,24200000
Barns Courtney,check
Dan Auerbach,5940000
Dua Lipa,58900000
Olivia O'Brien,15100000
Bishop Briggs,16200000
Ben Howard,195000000
Hozier,23400000
Kina Grannis,1630000
Hozier,check
Joseph,1570000000
Dana Williams,95400000
Hollow Coves,642000
Dean Lewis,156000000
Birdy,29200000
Passenger,863000000
Astrid S,110000000
Skylar Grey,32900000
Donovan Woods,16800000
Au/Ra,1820000000
SYML,1490000
Amy Shark,55800000
Belle Mt,49800000
Tash Sultana,4550000
Sia,703000000
Hailee Steinfeld,check
The Lumineers,6580000
Lewis Watson,98200000
Imaginary Future,75900000
Lissie,4670000
John Mayer,158000000
Billy Raffoul,347000
This Wild Life,3010000000
Julia Michaels,52700000
Ed Sheeran,143000000
Kodaline,3660000
Dermot Kennedy,7160000
Harry Styles,193000000
John Smith,1870000000
Justin Nozuka,336000
Sabrina Claudio,18400000
James Bay,764000000
Matt Maeson,308000
Jamie Lawson,20000000
Noah Kahan,953000
Declan J Donovan,1090000
Shawn Mendes,127000000
Lauv,7690000
Jaws of Love.,995000000
Kelvin Jones,20700000
Nicole Zefanya,62900
John Adams,562000000
Ben Stevenson,35700000
Noah Cyrus,26700000
Big Brutus,14300000
Tom Odell,20900000
CLOVES,81700000
Halsey,115000000
Corey Harper,30300000
Sinead Harnett,472000
Niall Horan,26700000
Emil Landman,229000
Hein Cooper,8100000
Rihanna,192000000
AHI,380000000
Josh Ritter,10600000
Cam,1690000000
Marc Broussard,2680000
Jillian Jacqueline,10800000
Langhorne Slim,544000
Brett Dennen,746000
Fortunate Ones,83000000
Vance Joy,24200000
Hozier,23400000
The Lumineers,6580000
Ed Sheeran,143000000
Passenger,914000000
George Ezra,34700000
The Fray,75600000
Rihanna,192000000
Red Hot Chili Peppers,118000000
Ed Sheeran,143000000
Beyoncé,218000000
Gnarls Barkley,3110000
Ben Howard,195000000
MAGIC!,2130000000
Snow Patrol,85200000
Jason Mraz,17800000
Mumford & Sons,28600000
Beyoncé,218000000
The Script,985000000
Benjamin Francis Leftwich,602000
Leona Lewis,26900000
Of Monsters and Men,189000000
Incubus,16500000
Edward Sharpe & The Magnetic Zeros,13900000
Red Hot Chili Peppers,118000000
Coldplay,63600000
Green Day,11980000000
Florence + The Machine,126000000
Ed Sheeran,143000000
Alicia Keys,66900000
James Bay,829000000
Gavin DeGraw,2670000
John Mayer,158000000
Mumford & Sons,28600000
Augustana,5050000
Ed Sheeran,143000000
Howie Day,19000000
Matt Nathanson,1270000
Lifehouse,9790000
James Blunt,89600000
Keane,33200000
The Fray,75600000
The Calling,7010000000
Maroon 5,3080000000
Coldplay,61600000
John Mayer,158000000
Damien Rice,11600000
Mumford & Sons,28600000
Jack Johnson,422000000
Jason Mraz,17800000
Disturbed,131000000
I Prevail,78200000
Amaranthe,3140000
Breaking Benjamin,92100000
Godsmack,8300000
Within Temptation,80900000
In This Moment,check
Five Finger Death Punch,26100000
Rise Of The Northstar,2410000
Bring Me The Horizon,323000000
Asking Alexandria,37200000
Parkway Drive,117000000
Emigrate,41400000
Nonpoint,3710000
Wilson,1090000000
Chevelle,241000000
Papa Roach,13400000
Architects,568000000
Volbeat,8380000
Sylar,3360000
Shining,206000000
Disturbed,131000000
Hands Like Houses,210000000
Nothing More,2240000000
Light The Torch,195000000
Alice In Chains,72300000
Polaris,259000000
Beartooth,3910000
Bullet For My Valentine,41400000
Pantera,80000000
Three Days Grace,323000000
Sevendust,5540000
Breaking Benjamin,92100000
Shinedown,9210000
Ghost,1290000000
Escape the Fate,129000000
Halestorm,7770000
Of Mice & Men,231000000
From Ashes to New,110000000
Nonpoint,3780000
Godsmack,8300000
Skindred,714000
Five Finger Death Punch,27400000
Stone Sour,52600000
Parkway Drive,117000000
Metallica,104000000
Miss May I,3090000000
DED,58600000
Soil,822000000
HELLYEAH,25700000
Underoath,13100000
Pop Evil,194000000
Fozzy,3960000
"Our Hollow, Our Home", Our Home
Amon Amarth,8820000
Gemini Syndrome,3820000
Kobra And The Lotus,844000
Bullet For My Valentine,41400000
Slipknot,29800000
Hatebreed,2170000
A Day To Remember,1740000000
Avenged Sevenfold,19600000
Parkway Drive,121000000
Cold Kingdom,494000000
In Flames,204000000
Bring Me The Horizon,323000000
WizKid,20700000
WizKid,20700000
Skepta,6100000
Olamide,15400000
Starboy,9640000
Starboy,9640000
DJ Spinall,1150000
WizKid,20700000
Mut4y,223000
Wale,81300000
WizKid,20700000
Vybz Kartel,6570000
WizKid,20700000
Drake,360000000
DJ Maphorisa,1410000
WizKid,22000000
Runtown,2600000
WizKid,22000000
WizKid,22000000
WizKid,22000000
WizKid,22000000
L.A.X,102000000
KCee,1620000
WizKid,22000000
WizKid,22000000
R2Bees,1610000
Maleek Berry,1470000
WizKid,20700000
WizKid,20700000
WizKid,20700000
WizKid,20700000
Major Lazer,41600000
Tipcee,293000
DJ Fortee,2160000
DJ Maphorisa,1720000
Stefflon Don,4740000
Shekhinah,645000
Shirazee,59500
WizKid,22000000
Naira Marley,7680000
Mr Real,2890000000
WizKid,20700000
Tekno,61100000
Afro B,216000000
DaVido,22400000
Major Lazer,41600000
Major Lazer,41600000
Major Lazer,37500000
Major Lazer,41600000
Patoranking,8520000
Jidenna,952000
DJ Maphorisa,1720000
GuiltyBeatz,304000
Patoranking,8520000
Professor,check
Nasty C,270000000
Babes Wodumo,2220000
Mr Eazi,11200000
Burna Boy,14200000
Skales,7280000
Singuila,878000
Kofi Kinaata,995000
Mr Eazi,11200000
Maleek Berry,1470000
Olamide,15400000
Fuse ODG,2560000
Jillionaire,253000
Burna Boy,14900000
Da Beatfreakz,148000
DaVido,23200000
DMW,25400000
Kiss Daniel,154000000
DJ Spinall,1150000
Prince Kaybee,1970000
King Promise,268000000
Sarz,1330000
Mayorkun,6250000
Vybz Kartel,6820000
Kobi Jonz,25300
Fela Kuti,4070000
Hardy Caprio,1420000
B Young,4380000000
Olamide,15400000
DaVido,23800000
Skales,8040000
DJEFF,467000
DaVido,23800000
DJ Buckz,266000
Fela Kuti,4070000
Pentatonix,12800000
The Barden Bellas,722000
University of Rochester YellowJackets,289000
Pentatonix,14400000
Pentatonix,12800000
Straight No Chaser,15300000
The Barden Bellas,789000
Kurt Hugo Schneider,8320000
Twisted Measure,32300000
Pentatonix,14400000
Rebel Wilson,55300000
Walk Off the Earth,440000000
The Barden Bellas,789000
Pentatonix,14400000
Das Sound Machine,65700000
Home Free,19140000000
Pentatonix,14600000
Glee Cast,21500000
The Barden Bellas,789000
Pentatonix,14400000
Anna Kendrick,71800000
Peter Hollens,1560000
Pentatonix,14400000
Street Corner Symphony,14000000
The Treblemakers,264000
The Dartmouth Aires,1030000
Straight No Chaser,15300000
Home Free,19140000000
Tufts Beelzebubs,32400
The Treblemakers,264000
Straight No Chaser,15300000
Pentatonix,14400000
Straight No Chaser,15300000
Urban Method,308000000
The Backbeats,363000
Peter Hollens,1560000
Peter Hollens,1400000
Tufts Beelzebubs,32400
On The Rocks,4530000000
The Barden Bellas,789000
Straight No Chaser,15300000
The Backbeats,364000
Street Corner Symphony,16300000
The Sing-Off Contestants,4820000
Hullabahoos,14300
Hullabahoos,14300
The Dartmouth Aires,1030000
On The Rocks,4530000000
Urban Method,308000000
Home Free,19140000000
Home Free,19140000000
Pitch Slapped,3610000
The Sockapellas,18600
The Treblemakers,264000
The Whiffenpoofs,77100
Rockapella,192000
University of Rochester YellowJackets,239000
The Magnets,98800000
Triple One,800000000
KG,5110000000
Thundamentals,176000
Esoterik,9340000
Baker Boy,177000000
Hilltop Hoods,1430000
B Wise,592000000
DyspOra,16600
Savour the Rations,255000
Tasman Keith,842000
Sophiegrophy,check
The Kid Laroi,63600
Manu Crooks,516000
Dallas Woods,93700000
Carmouflage Rose,104000
Seeka,686000
Daniel Elia,18900000
iiiConic,64400
Kwame,17900000
Lazy J,111000000
Gamirez,14800
Drapht,220000
No Label Necessary,511000000
Junor,1050000
Deuxronin,16800
Ziggy Ramo,97600
Carmouflage Rose,check
Thundamentals,176000
Arno Faraji,35100
Figuero Jones,195000
Midas.Gold,16700000
richysand,17200
Vida Sunshyne,77100
Spit Syndicate,686000
Manu Crooks,516000
Ivan Ooze,410000
Vic August,105000000
B Wise,592000000
NYNE,2620000
Hvncoq,18800
Gibrillah,4190
Minimal Miggy,125000
Phil Fresh,135000000
Xander Jame$,24
Figuero Jones,195000
Nooky,1850000
Kid Pharaoh,10500000
Daniel Elia,20100000
Lazy J,111000000
Vince the Kid,75200000
Beyoncé,218000000
50 Cent,490000000
Eminem,112000000
Amy Winehouse,28700000
Justin Timberlake,96200000
Shakira,104000000
Gnarls Barkley,3110000
Miley Cyrus,154000000
Britney Spears,164000000
OutKast,10100000
Usher,102000000
The Black Eyed Peas,28700000
Kesha,25500000
The Pussycat Dolls,20200000
Rihanna,192000000
Lady Gaga,269000000
Beyoncé,218000000
The Black Eyed Peas,28700000
Katy Perry,197000000
Wyclef Jean,6020000
Kanye West,141000000
Blu Cantrell,1020000
Destiny's Child,13600000
Maroon 5,3080000000
Jason Mraz,16000000
Jordin Sparks,7580000
Timbaland,10400000
Nelly,117000000
Adele,206000000
Usher,102000000
Gwen Stefani,44800000
Peter Bjorn and John,12600000
*NSYNC,11500000
Cascada,53200000
Rihanna,192000000
Snoop Dogg,75300000
John Legend,511000000
Daft Punk,32000000
MGMT,48000000
Santana,325000000
Robyn,98500000
Beyoncé,221000000
Maroon 5,3080000000
Natasha Bedingfield,3340000
Avril Lavigne,49300000
Shaggy,440000000
Destiny's Child,13600000
Britney Spears,167000000
Kelly Clarkson,71500000
Kings of Leon,41600000
Dido,34300000
Coldplay,58400000
Madonna,237000000
Ciara,66300000
Beyoncé,218000000
Shakira,101000000
Sara Bareilles,15300000
Taylor Swift,368000000
Bruno Mars,143000000
Christina Aguilera,66100000
Justin Timberlake,96200000
Justin Timberlake,96200000
Kelly Clarkson,71500000
Lady Gaga,269000000
Sophie Ellis-Bextor,2510000
P!nk,446000000
The Killers,120000000
Coldplay,65400000
The xx,1070000000
Leona Lewis,26900000
CeeLo Green,5470000
OutKast,10100000
Bruno Mars,143000000
David Guetta,45800000
Jamiroquai,11300000
Pitbull,105000000
Sean Paul,413000000
The White Stripes,455000000
P!nk,446000000
Vanessa Carlton,12600000
Ne-Yo,652000000
Train,2410000000
Kylie Minogue,31100000
Red Hot Chili Peppers,118000000
Duffy,66000000
Panic! At The Disco,70500000
Nickelback,14700000
Owl City,234000000
The Script,1180000000
Norah Jones,36600000
The Corrs,6990000
The Calling,6980000000
Missy Elliott,31800000
Christina Aguilera,66100000
Modjo,1900000
Florence + The Machine,99500000
Eric Prydz,3270000
Katy Perry,197000000
Blue,25270000000
Craig David,400000000
Dion,118000000
Chuck Berry,53500000
Little Richard,869000000
Buddy Holly,43300000
Bill Haley & His Comets,35600000
Danny & The Juniors,490000000
Fats Domino,7920000
Elvis Presley,113000000
The Drifters,13000000
Dion,118000000
Chuck Berry,53500000
Dion & The Belmonts,118000000
Ritchie Valens,2620000
Bill Haley & His Comets,35600000
Elvis Presley,113000000
Ray Charles,360000000
Little Richard,869000000
Bobby Day,208000000
Johnny Cash,153000000
Bobby Darin,11300000
Del Shannon,59200000
Paul Anka,12900000
Jerry Lee Lewis,61800000
Bobby Vee,11700000
The Platters,29400000
The Isley Brothers,6610000
The Champs,281000000
Connie Francis,55500000
Neil Sedaka,2950000
Frankie Lymon & The Teenagers,407000
Ritchie Valens,2620000
The Del-Vikings,48400000
The Skyliners,1150000
Jerry Lee Lewis,61800000
Johnny Cash,153000000
Eddie Cochran,8440000
The Clovers,7190000
Jackie Wilson,102000000
Sam Cooke,31800000
Eddie Cochran,8440000
The Diamonds,404000000
Tennessee Ernie Ford,3280000
Little Richard,869000000
The Everly Brothers,7990000
Fats Domino,7920000
The Monotones,1130000
Frank Sinatra,53200000
Dean Martin,418000000
